station,year,particle_number,type,lat,lon
US6004G,2005,171.89037694583814,PNC,-89.996948,-24.799999
US6005G,2005,1270.0567891859052,PNC,41.0541,-124.151001
US9050R,2005,3297.341059523809,PNC,40.445,-106.744003
CA0420G,2006,221.77056039089936,PNC,82.4991455078,-62.3415260315
CH0001G,2006,464.1917652825836,PNC,46.5475,7.985
DE0043G,2006,13257.38545433672,PNC,47.8,11.016667
FI0050R,2006,2626.1030151593013,PNC,61.85,24.283333
FI0096G,2006,748.5743954983923,PNC,67.973333333,24.116111111
FR0030R,2006,2192.345138081396,PNC,45.772223,2.964886
IE0031R,2006,2091.066275167785,PNC,53.32583,-9.89944
PR0100C,2006,778.7917579408544,PNC,18.381065,-65.617752
US0008R,2006,178.657343102899,PNC,71.32301,-156.61147
US0035R,2006,3945.4347198222654,PNC,40.049999,-88.366669
US1200R,2006,398.6397050318103,PNC,19.53623,-155.576157
US6001R,2006,203.30691327237463,PNC,-14.2466,-170.5637
US6002C,2006,4268.277382196532,PNC,36.605,-97.484999
US6004G,2006,120.12659073055774,PNC,-89.996948,-24.799999
US6005G,2006,1337.587699861513,PNC,41.0541,-124.151001
US9050R,2006,2025.360575187,PNC,40.445,-106.744003
CA0420G,2007,269.5855539045732,PNC,82.4991455078,-62.3415260315
CH0001G,2007,474.2143358208955,PNC,46.5475,7.985
DE0043G,2007,3334.892831977452,PNC,47.8,11.016667
ES0018G,2007,2445.7540576054216,PNC,28.309,-16.4994
FI0050R,2007,2228.654463347796,PNC,61.85,24.283333
FR0030R,2007,2214.75569025235,PNC,45.772223,2.964886
HU0002R,2007,3657.4793388429753,PNC,46.966667,19.583333
IE0031R,2007,1635.4485294117646,PNC,53.32583,-9.89944
US0008R,2007,201.59509202453987,PNC,71.32301,-156.61147
US0035R,2007,3012.9794140176177,PNC,40.049999,-88.366669
US1200R,2007,444.07422638436486,PNC,19.53623,-155.576157
US6001R,2007,167.9153794582998,PNC,-14.2466,-170.5637
US6002C,2007,3788.2167035092216,PNC,36.605,-97.484999
US6004G,2007,101.56663245670302,PNC,-89.996948,-24.799999
US6005G,2007,1239.4886230354211,PNC,41.0541,-124.151001
US9050R,2007,3191.4512628624884,PNC,40.445,-106.744003
CA0420G,2008,267.3478382447839,PNC,82.4991455078,-62.3415260315
CH0001G,2008,445.5283863820903,PNC,46.5475,7.985
DE0043G,2008,3126.9727891156463,PNC,47.8,11.016667
DE0060G,2008,438.3402014086248,PNC,-70.666,-8.266
FI0050R,2008,1969.529434847272,PNC,61.85,24.283333
FI0096G,2008,732.680596470276,PNC,67.973333333,24.116111111
FR0030R,2008,3165.00390911312,PNC,45.772223,2.964886
GB0036R,2008,5032.144707207207,PNC,51.573056,-1.316667
HU0002R,2008,2138.663201320132,PNC,46.966667,19.583333
IE0031R,2008,1322.4674138646742,PNC,53.32583,-9.89944
LT0015R,2008,2792.435184102864,PNC,55.3761111111,21.0305555556
US0008R,2008,325.229190451479,PNC,71.32301,-156.61147
US0035R,2008,5975.240153788447,PNC,40.049999,-88.366669
US1200R,2008,490.3621244635193,PNC,19.53623,-155.576157
US6001R,2008,186.0302307692308,PNC,-14.2466,-170.5637
US6002C,2008,4176.866730513996,PNC,36.605,-97.484999
US6005G,2008,1098.189681122449,PNC,41.0541,-124.151001
US9050R,2008,3442.7995298140627,PNC,40.445,-106.744003
ZA0001G,2008,1398.9886623597415,PNC,-34.35348,18.48968
CA0100R,2009,747.3688869056119,PNC,50.059299469,-122.9576034546
CA0420G,2009,260.48170308352053,PNC,82.4991455078,-62.3415260315
CH0001G,2009,485.2451203217908,PNC,46.5475,7.985
DE0043G,2009,3143.245089769852,PNC,47.8,11.016667
ES0018G,2009,3101.354609180609,PNC,28.309,-16.4994
FI0050R,2009,2107.887797687861,PNC,61.85,24.283333
FI0096G,2009,721.0603483939286,PNC,67.973333333,24.116111111
FR0030R,2009,2754.233264429957,PNC,45.772223,2.964886
GB0036R,2009,5381.2158405289765,PNC,51.573056,-1.316667
IE0031R,2009,1735.8332245004572,PNC,53.32583,-9.89944
LT0015R,2009,2447.4938474252936,PNC,55.3761111111,21.0305555556
TW0100R,2009,1492.179073482428,PNC,23.47,120.87
US0008R,2009,267.09967741935486,PNC,71.32301,-156.61147
US0035R,2009,4418.022448662104,PNC,40.049999,-88.366669
US1200R,2009,442.5276862090549,PNC,19.53623,-155.576157
US6001R,2009,222.71226589833296,PNC,-14.2466,-170.5637
US6002C,2009,4263.125412026726,PNC,36.605,-97.484999
US6004G,2009,286.78765863313544,PNC,-89.996948,-24.799999
US6005G,2009,878.9345808766982,PNC,41.0541,-124.151001
US9050R,2009,3518.596485528647,PNC,40.445,-106.744003
ZA0001G,2009,926.9271054721978,PNC,-34.35348,18.48968
CA0100R,2010,600.639973570658,PNC,50.059299469,-122.9576034546
